iter	MAPE	RMSE	R2	MAE
389	0.3173276906	985924.836	0.9323549762	604714.9904
390	0.3170985045	985500.9895	0.9324131245	604462.1948
391	0.3167353754	984578.4259	0.9325396064	603917.4081
392	0.3166889327	984229.7957	0.9325873721	603729.6816
393	0.3166206535	984067.4072	0.9326096152	603693.0659
394	0.3162925578	982769.0972	0.9327873182	603186.9615
395	0.3161817152	981417.1762	0.9329721098	602613.1839
396	0.3158216883	980895.4212	0.9330433595	602327.2486
397	0.3154696078	980012.4914	0.9331638441	601968.9104
398	0.3154417357	979277.1398	0.9332641074	601724.4481
399	0.3150723575	977852.0039	0.9334582067	601204.7397
400	0.3147323135	976448.0689	0.9336491422	600654.0775
401	0.3146097518	975256.0532	0.9338110412	600338.8352
402	0.3145138618	974572.681	0.9339037673	600186.0165
403	0.3140334488	974098.0507	0.9339681311	599825.4035
404	0.3138257701	973707.7072	0.9340210415	599710.9454
405	0.3134437414	972812.9664	0.934142242	599172.5075
406	0.3134529998	971390.9758	0.934334634	598536.7746
407	0.3132278579	970580.8478	0.9344441165	598142.7759
408	0.3131491988	969705.5959	0.9345622973	597917.4097
409	0.3133322587	968906.4719	0.9346701059	597552.4816
410	0.3129151645	968119.7271	0.9347761576	597228.8709
411	0.3126851317	967600.2995	0.9348461282	597047.0179
412	0.312389111	967289.441	0.9348879852	596905.4478
413	0.3122645773	966584.8232	0.9349828117	596696.8326
414	0.3117996407	966266.7521	0.9350255947	596492.2236
415	0.3116542752	965881.804	0.9350773543	596336.8334
416	0.3111169999	965714.6455	0.9350998238	596227.1857
417	0.3105082069	964887.0122	0.9352110172	595703.5376
418	0.3102697401	963946.0383	0.9353373221	595203.4206
419	0.309846137	963034.4457	0.9354595658	594865.9504
420	0.3096098556	962078.5696	0.9355876236	594502.0433
421	0.3093911485	961164.6479	0.9357099419	594148.0251
422	0.3090350162	960469.3867	0.9358029171	593898.1234
423	0.3083563657	959966.5732	0.9358701149	593537.2826
424	0.3081796903	959357.8907	0.9359514143	593153.347
425	0.3079722805	958410.0768	0.9360779075	592786.9577
426	0.3076661213	958091.0921	0.9361204504	592577.6651
427	0.3077635019	957854.9457	0.9361519361	592442.5005
428	0.3073756175	956887.5758	0.9362808356	591965.5143
429	0.3070674683	956361.033	0.9363509413	591621.0082
430	0.3068123985	954659.4097	0.9365772374	590892.2264
431	0.3066389841	954247.2065	0.9366319949	590776.1813
432	0.3062484922	953667.9191	0.9367089082	590263.2612
433	0.3058427163	953182.6947	0.9367732966	589891.7379
434	0.3057994339	952045.4005	0.9369240851	589375.5937
435	0.3056705438	951813.6991	0.9369547832	589226.8521
436	0.3052413945	951451.3795	0.9370027719	588856.6093
437	0.3050723582	950428.3881	0.9371381671	588177.5738
438	0.3045346503	949925.5588	0.9372046643	587789.5227
439	0.3043854023	949257.4957	0.9372929586	587566.6833
440	0.303664892	948707.7039	0.937365575	587113.8558
441	0.3032336924	948279.6021	0.9374220895	586829.0822
442	0.3031888009	947329.5775	0.9375474128	586181.6351
443	0.3028835881	946982.0627	0.9375932241	585914.9126
444	0.3024877838	946834.4358	0.93761268	585790.5649
